Number of devices: 0
The FPGA has been opened successfully! 
Activating AutoRefresh. tREFI: 39, tRFC: 104 
Setting clock Speed to:
Starting Basic Read/Write Test! 
The test has been completed! 
Number of devices: 0
The FPGA has been opened successfully! 
Activating AutoRefresh. tREFI: 39, tRFC: 104 
Setting clock Speed to:
Starting Basic Read/Write Test! 
Error at Col: 49, Row: 0, Bank: 0, DATA: 7a 
Error at Col: 50, Row: 0, Bank: 0, DATA: 3c 
Error at Col: 51, Row: 0, Bank: 0, DATA: 5d 
Error at Col: 53, Row: 0, Bank: 0, DATA: 7f 
Error at Col: 54, Row: 0, Bank: 0, DATA: 0 
Error at Col: 55, Row: 0, Bank: 0, DATA: 0 
Error at Col: 56, Row: 0, Bank: 0, DATA: 0 
Error at Col: 57, Row: 0, Bank: 0, DATA: 0 
Error at Col: 58, Row: 0, Bank: 0, DATA: 0 
Error at Col: 59, Row: 0, Bank: 0, DATA: 0 
Error at Col: 60, Row: 0, Bank: 0, DATA: 0 
Error at Col: 61, Row: 0, Bank: 0, DATA: 0 
Error at Col: 62, Row: 0, Bank: 0, DATA: 0 
Error at Col: 63, Row: 0, Bank: 0, DATA: 0 
Error at Col: 64, Row: 0, Bank: 0, DATA: 80 
Error at Col: 65, Row: 0, Bank: 0, DATA: fe 
Error at Col: 66, Row: 0, Bank: 0, DATA: c9 
Error at Col: 67, Row: 0, Bank: 0, DATA: 81 
Error at Col: 68, Row: 0, Bank: 0, DATA: 36 
Error at Col: 69, Row: 0, Bank: 0, DATA: 56 
Error at Col: 70, Row: 0, Bank: 0, DATA: 0 
Error at Col: 71, Row: 0, Bank: 0, DATA: 0 
Error at Col: 16, Row: 0, Bank: 0, DATA: 80 
Error at Col: 17, Row: 0, Bank: 0, DATA: fe 
Error at Col: 18, Row: 0, Bank: 0, DATA: c9 
Error at Col: 19, Row: 0, Bank: 0, DATA: 81 
Error at Col: 20, Row: 0, Bank: 0, DATA: 36 
Error at Col: 21, Row: 0, Bank: 0, DATA: 56 
Error at Col: 22, Row: 0, Bank: 0, DATA: 0 
Error at Col: 23, Row: 0, Bank: 0, DATA: 0 
Error at Col: 24, Row: 0, Bank: 0, DATA: a0 
Error at Col: 25, Row: 0, Bank: 0, DATA: fe 
Error at Col: 26, Row: 0, Bank: 0, DATA: c9 
Error at Col: 27, Row: 0, Bank: 0, DATA: 81 
Error at Col: 28, Row: 0, Bank: 0, DATA: 36 
Error at Col: 29, Row: 0, Bank: 0, DATA: 56 
Error at Col: 30, Row: 0, Bank: 0, DATA: 0 
Error at Col: 31, Row: 0, Bank: 0, DATA: 0 
Error at Col: 32, Row: 0, Bank: 0, DATA: 40 
Error at Col: 33, Row: 0, Bank: 0, DATA: c9 
Error at Col: 34, Row: 0, Bank: 0, DATA: d5 
Error at Col: 35, Row: 0, Bank: 0, DATA: ea 
Error at Col: 37, Row: 0, Bank: 0, DATA: 7f 
Error at Col: 38, Row: 0, Bank: 0, DATA: 0 
Error at Col: 39, Row: 0, Bank: 0, DATA: 0 
Error at Col: 40, Row: 0, Bank: 0, DATA: d0 
Error at Col: 41, Row: 0, Bank: 0, DATA: c2 
Error at Col: 42, Row: 0, Bank: 0, DATA: ad 
Error at Col: 43, Row: 0, Bank: 0, DATA: 7f 
Error at Col: 44, Row: 0, Bank: 0, DATA: 36 
Error at Col: 45, Row: 0, Bank: 0, DATA: 56 
Error at Col: 46, Row: 0, Bank: 0, DATA: 0 
Error at Col: 47, Row: 0, Bank: 0, DATA: 0 
Error at Col: 48, Row: 0, Bank: 0, DATA: 70 
Error at Col: 49, Row: 0, Bank: 0, DATA: c9 
Error at Col: 50, Row: 0, Bank: 0, DATA: d5 
Error at Col: 51, Row: 0, Bank: 0, DATA: ea 
Error at Col: 53, Row: 0, Bank: 0, DATA: 7f 
Error at Col: 54, Row: 0, Bank: 0, DATA: 0 
Error at Col: 55, Row: 0, Bank: 0, DATA: 0 
Error at Col: 56, Row: 0, Bank: 0, DATA: 64 
Error at Col: 57, Row: 0, Bank: 0, DATA: 7a 
Error at Col: 58, Row: 0, Bank: 0, DATA: 3c 
Error at Col: 59, Row: 0, Bank: 0, DATA: 5d 
Error at Col: 61, Row: 0, Bank: 0, DATA: 7f 
Error at Col: 62, Row: 0, Bank: 0, DATA: 0 
Error at Col: 63, Row: 0, Bank: 0, DATA: 0 
Error at Col: 64, Row: 0, Bank: 0, DATA: 0 
Error at Col: 65, Row: 0, Bank: 0, DATA: 0 
Error at Col: 66, Row: 0, Bank: 0, DATA: 0 
Error at Col: 67, Row: 0, Bank: 0, DATA: 0 
Error at Col: 68, Row: 0, Bank: 0, DATA: 0 
Error at Col: 69, Row: 0, Bank: 0, DATA: 0 
Error at Col: 70, Row: 0, Bank: 0, DATA: 0 
Error at Col: 71, Row: 0, Bank: 0, DATA: 0 
Error at Col: 72, Row: 0, Bank: 0, DATA: 80 
Error at Col: 73, Row: 0, Bank: 0, DATA: fe 
Error at Col: 74, Row: 0, Bank: 0, DATA: c9 
Error at Col: 75, Row: 0, Bank: 0, DATA: 81 
Error at Col: 76, Row: 0, Bank: 0, DATA: 36 
Error at Col: 77, Row: 0, Bank: 0, DATA: 56 
Error at Col: 78, Row: 0, Bank: 0, DATA: 0 
Error at Col: 79, Row: 0, Bank: 0, DATA: 0 
Error at Col: 24, Row: 0, Bank: 0, DATA: 80 
Error at Col: 25, Row: 0, Bank: 0, DATA: fe 
Error at Col: 26, Row: 0, Bank: 0, DATA: c9 
Error at Col: 27, Row: 0, Bank: 0, DATA: 81 
Error at Col: 28, Row: 0, Bank: 0, DATA: 36 
Error at Col: 29, Row: 0, Bank: 0, DATA: 56 
Error at Col: 30, Row: 0, Bank: 0, DATA: 0 
Error at Col: 31, Row: 0, Bank: 0, DATA: 0 
Error at Col: 32, Row: 0, Bank: 0, DATA: a0 
Error at Col: 33, Row: 0, Bank: 0, DATA: fe 
Error at Col: 34, Row: 0, Bank: 0, DATA: c9 
Error at Col: 35, Row: 0, Bank: 0, DATA: 81 
Error at Col: 36, Row: 0, Bank: 0, DATA: 36 
Error at Col: 37, Row: 0, Bank: 0, DATA: 56 
Error at Col: 38, Row: 0, Bank: 0, DATA: 0 
Error at Col: 39, Row: 0, Bank: 0, DATA: 0 
Error at Col: 40, Row: 0, Bank: 0, DATA: 40 
Error at Col: 41, Row: 0, Bank: 0, DATA: c9 
Error at Col: 42, Row: 0, Bank: 0, DATA: d5 
Error at Col: 43, Row: 0, Bank: 0, DATA: ea 
Error at Col: 45, Row: 0, Bank: 0, DATA: 7f 
Error at Col: 46, Row: 0, Bank: 0, DATA: 0 
Error at Col: 47, Row: 0, Bank: 0, DATA: 0 
Error at Col: 48, Row: 0, Bank: 0, DATA: d0 
Error at Col: 49, Row: 0, Bank: 0, DATA: c2 
Error at Col: 50, Row: 0, Bank: 0, DATA: ad 
Error at Col: 51, Row: 0, Bank: 0, DATA: 7f 
Error at Col: 52, Row: 0, Bank: 0, DATA: 36 
Error at Col: 53, Row: 0, Bank: 0, DATA: 56 
Error at Col: 54, Row: 0, Bank: 0, DATA: 0 
Error at Col: 55, Row: 0, Bank: 0, DATA: 0 
Error at Col: 56, Row: 0, Bank: 0, DATA: 70 
Error at Col: 57, Row: 0, Bank: 0, DATA: c9 
Error at Col: 58, Row: 0, Bank: 0, DATA: d5 
Error at Col: 59, Row: 0, Bank: 0, DATA: ea 
Error at Col: 61, Row: 0, Bank: 0, DATA: 7f 
Error at Col: 62, Row: 0, Bank: 0, DATA: 0 
Error at Col: 63, Row: 0, Bank: 0, DATA: 0 
Error at Col: 64, Row: 0, Bank: 0, DATA: 64 
Error at Col: 65, Row: 0, Bank: 0, DATA: 7a 
Error at Col: 66, Row: 0, Bank: 0, DATA: 3c 
Error at Col: 67, Row: 0, Bank: 0, DATA: 5d 
Error at Col: 69, Row: 0, Bank: 0, DATA: 7f 
Error at Col: 70, Row: 0, Bank: 0, DATA: 0 
Error at Col: 71, Row: 0, Bank: 0, DATA: 0 
Error at Col: 72, Row: 0, Bank: 0, DATA: 0 
Error at Col: 73, Row: 0, Bank: 0, DATA: 0 
Error at Col: 74, Row: 0, Bank: 0, DATA: 0 
Error at Col: 75, Row: 0, Bank: 0, DATA: 0 
Error at Col: 76, Row: 0, Bank: 0, DATA: 0 
Error at Col: 77, Row: 0, Bank: 0, DATA: 0 
Error at Col: 78, Row: 0, Bank: 0, DATA: 0 
Error at Col: 79, Row: 0, Bank: 0, DATA: 0 
Error at Col: 80, Row: 0, Bank: 0, DATA: 80 
Error at Col: 81, Row: 0, Bank: 0, DATA: fe 
Error at Col: 82, Row: 0, Bank: 0, DATA: c9 
Error at Col: 83, Row: 0, Bank: 0, DATA: 81 
Error at Col: 84, Row: 0, Bank: 0, DATA: 36 
Error at Col: 85, Row: 0, Bank: 0, DATA: 56 
Error at Col: 86, Row: 0, Bank: 0, DATA: 0 
Error at Col: 87, Row: 0, Bank: 0, DATA: 0 
Error at Col: 32, Row: 0, Bank: 0, DATA: 80 
Error at Col: 33, Row: 0, Bank: 0, DATA: fe 
Error at Col: 34, Row: 0, Bank: 0, DATA: c9 
Error at Col: 35, Row: 0, Bank: 0, DATA: 81 
Error at Col: 36, Row: 0, Bank: 0, DATA: 36 
Error at Col: 37, Row: 0, Bank: 0, DATA: 56 
Error at Col: 38, Row: 0, Bank: 0, DATA: 0 
Error at Col: 39, Row: 0, Bank: 0, DATA: 0 
Error at Col: 40, Row: 0, Bank: 0, DATA: a0 
Error at Col: 41, Row: 0, Bank: 0, DATA: fe 
Error at Col: 42, Row: 0, Bank: 0, DATA: c9 
Error at Col: 43, Row: 0, Bank: 0, DATA: 81 
Error at Col: 44, Row: 0, Bank: 0, DATA: 36 
Error at Col: 45, Row: 0, Bank: 0, DATA: 56 
Error at Col: 46, Row: 0, Bank: 0, DATA: 0 
Error at Col: 47, Row: 0, Bank: 0, DATA: 0 
Error at Col: 48, Row: 0, Bank: 0, DATA: 40 
Error at Col: 49, Row: 0, Bank: 0, DATA: c9 
Error at Col: 50, Row: 0, Bank: 0, DATA: d5 
Error at Col: 51, Row: 0, Bank: 0, DATA: ea 
Error at Col: 53, Row: 0, Bank: 0, DATA: 7f 
Error at Col: 54, Row: 0, Bank: 0, DATA: 0 
Error at Col: 55, Row: 0, Bank: 0, DATA: 0 
Error at Col: 56, Row: 0, Bank: 0, DATA: d0 
Error at Col: 57, Row: 0, Bank: 0, DATA: c2 
Error at Col: 58, Row: 0, Bank: 0, DATA: ad 
Error at Col: 59, Row: 0, Bank: 0, DATA: 7f 
Error at Col: 60, Row: 0, Bank: 0, DATA: 36 
Error at Col: 61, Row: 0, Bank: 0, DATA: 56 
Error at Col: 62, Row: 0, Bank: 0, DATA: 0 
Error at Col: 63, Row: 0, Bank: 0, DATA: 0 
Error at Col: 64, Row: 0, Bank: 0, DATA: 70 
Error at Col: 65, Row: 0, Bank: 0, DATA: c9 
Error at Col: 66, Row: 0, Bank: 0, DATA: d5 
Error at Col: 67, Row: 0, Bank: 0, DATA: ea 
Error at Col: 69, Row: 0, Bank: 0, DATA: 7f 
Error at Col: 70, Row: 0, Bank: 0, DATA: 0 
Error at Col: 71, Row: 0, Bank: 0, DATA: 0 
Error at Col: 72, Row: 0, Bank: 0, DATA: 64 
Error at Col: 73, Row: 0, Bank: 0, DATA: 7a 
Error at Col: 74, Row: 0, Bank: 0, DATA: 3c 
Error at Col: 75, Row: 0, Bank: 0, DATA: 5d 
Error at Col: 77, Row: 0, Bank: 0, DATA: 7f 
Error at Col: 78, Row: 0, Bank: 0, DATA: 0 
Error at Col: 79, Row: 0, Bank: 0, DATA: 0 
Error at Col: 80, Row: 0, Bank: 0, DATA: 0 
Error at Col: 81, Row: 0, Bank: 0, DATA: 0 
Error at Col: 82, Row: 0, Bank: 0, DATA: 0 
Error at Col: 83, Row: 0, Bank: 0, DATA: 0 
Error at Col: 84, Row: 0, Bank: 0, DATA: 0 
Error at Col: 85, Row: 0, Bank: 0, DATA: 0 
Error at Col: 86, Row: 0, Bank: 0, DATA: 0 
Error at Col: 87, Row: 0, Bank: 0, DATA: 0 
Error at Col: 88, Row: 0, Bank: 0, DATA: 80 
Error at Col: 89, Row: 0, Bank: 0, DATA: fe 
Error at Col: 90, Row: 0, Bank: 0, DATA: c9 
Error at Col: 91, Row: 0, Bank: 0, DATA: 81 
Error at Col: 92, Row: 0, Bank: 0, DATA: 36 
Error at Col: 93, Row: 0, Bank: 0, DATA: 56 
Error at Col: 94, Row: 0, Bank: 0, DATA: 0 
Error at Col: 95, Row: 0, Bank: 0, DATA: 0 
Error at Col: 40, Row: 0, Bank: 0, DATA: 80 
Error at Col: 41, Row: 0, Bank: 0, DATA: fe 
Error at Col: 42, Row: 0, Bank: 0, DATA: c9 
Error at Col: 43, Row: 0, Bank: 0, DATA: 81 
Error at Col: 44, Row: 0, Bank: 0, DATA: 36 
Error at Col: 45, Row: 0, Bank: 0, DATA: 56 
Error at Col: 46, Row: 0, Bank: 0, DATA: 0 
Error at Col: 47, Row: 0, Bank: 0, DATA: 0 
Error at Col: 48, Row: 0, Bank: 0, DATA: a0 
Error at Col: 49, Row: 0, Bank: 0, DATA: fe 
Error at Col: 50, Row: 0, Bank: 0, DATA: c9 
Error at Col: 51, Row: 0, Bank: 0, DATA: 81 
Error at Col: 52, Row: 0, Bank: 0, DATA: 36 
Error at Col: 53, Row: 0, Bank: 0, DATA: 56 
Error at Col: 54, Row: 0, Bank: 0, DATA: 0 
Error at Col: 55, Row: 0, Bank: 0, DATA: 0 
Error at Col: 56, Row: 0, Bank: 0, DATA: 40 
Error at Col: 57, Row: 0, Bank: 0, DATA: c9 
Error at Col: 58, Row: 0, Bank: 0, DATA: d5 
Error at Col: 59, Row: 0, Bank: 0, DATA: ea 
Error at Col: 61, Row: 0, Bank: 0, DATA: 7f 
Error at Col: 62, Row: 0, Bank: 0, DATA: 0 
Error at Col: 63, Row: 0, Bank: 0, DATA: 0 
Error at Col: 64, Row: 0, Bank: 0, DATA: d0 
Error at Col: 65, Row: 0, Bank: 0, DATA: c2 
Error at Col: 66, Row: 0, Bank: 0, DATA: ad 
Error at Col: 67, Row: 0, Bank: 0, DATA: 7f 
Error at Col: 68, Row: 0, Bank: 0, DATA: 36 
Error at Col: 69, Row: 0, Bank: 0, DATA: 56 
Error at Col: 70, Row: 0, Bank: 0, DATA: 0 
Error at Col: 71, Row: 0, Bank: 0, DATA: 0 
Error at Col: 72, Row: 0, Bank: 0, DATA: 70 
Error at Col: 73, Row: 0, Bank: 0, DATA: c9 
Error at Col: 74, Row: 0, Bank: 0, DATA: d5 
Error at Col: 75, Row: 0, Bank: 0, DATA: ea 
Error at Col: 77, Row: 0, Bank: 0, DATA: 7f 
Error at Col: 78, Row: 0, Bank: 0, DATA: 0 
Error at Col: 79, Row: 0, Bank: 0, DATA: 0 
Error at Col: 80, Row: 0, Bank: 0, DATA: 64 
Error at Col: 81, Row: 0, Bank: 0, DATA: 7a 
Error at Col: 82, Row: 0, Bank: 0, DATA: 3c 
Error at Col: 83, Row: 0, Bank: 0, DATA: 5d 
Error at Col: 85, Row: 0, Bank: 0, DATA: 7f 
Error at Col: 86, Row: 0, Bank: 0, DATA: 0 
Error at Col: 87, Row: 0, Bank: 0, DATA: 0 
Error at Col: 88, Row: 0, Bank: 0, DATA: 0 
Error at Col: 89, Row: 0, Bank: 0, DATA: 0 
Error at Col: 90, Row: 0, Bank: 0, DATA: 0 
Error at Col: 91, Row: 0, Bank: 0, DATA: 0 
Error at Col: 92, Row: 0, Bank: 0, DATA: 0 
Error at Col: 93, Row: 0, Bank: 0, DATA: 0 
Error at Col: 94, Row: 0, Bank: 0, DATA: 0 
Error at Col: 95, Row: 0, Bank: 0, DATA: 0 
Error at Col: 96, Row: 0, Bank: 0, DATA: 80 
Error at Col: 97, Row: 0, Bank: 0, DATA: fe 
Error at Col: 98, Row: 0, Bank: 0, DATA: c9 
Error at Col: 99, Row: 0, Bank: 0, DATA: 81 
